N;Aleat triSelection;PresqueTri triSelection;PresqueTriDeb triSelection;PresqueTriDebFin triSelection;PresqueTriFin triSelection;;;Aleat triBulles;PresqueTri triBulles;PresqueTriDeb triBulles;PresqueTriDebFin triBulles;PresqueTriFin triBulles;;;Aleat triBullesOpti;PresqueTri triBullesOpti;PresqueTriDeb triBullesOpti;PresqueTriDebFin triBullesOpti;PresqueTriFin triBullesOpti;;;Aleat triPeigne;PresqueTri triPeigne;PresqueTriDeb triPeigne;PresqueTriDebFin triPeigne;PresqueTriFin triPeigne;;;Aleat triRapide;PresqueTri triRapide;PresqueTriDeb triRapide;PresqueTriDebFin triRapide;PresqueTriFin triRapide;;;
157;12402;12402;12402;12402;12402;;;12246;12246;12246;12246;12246;;;12168;311;311;311;12246;;;2198;2041;2041;2041;2198;;;1390;1265;1202;1459;1694;;;
158;12560;12560;12560;12560;12560;;;12403;12403;12403;12403;12403;;;12250;313;313;313;12403;;;2209;2051;2051;2051;2209;;;1383;1399;1546;1242;1320;;;
159;12719;12719;12719;12719;12719;;;12561;12561;12561;12561;12561;;;12425;315;315;315;12561;;;2384;2066;2066;2066;2225;;;1420;1439;1248;1417;1486;;;
160;12879;12879;12879;12879;12879;;;12720;12720;12720;12720;12720;;;12642;317;317;317;12720;;;2234;2074;2074;2074;2234;;;1292;1370;1426;1518;1389;;;
161;13040;13040;13040;13040;13040;;;12880;12880;12880;12880;12880;;;12727;319;319;319;12880;;;2251;2090;2090;2090;2251;;;1324;1344;1534;1366;1481;;;
162;13202;13202;13202;13202;13202;;;13041;13041;13041;13041;13041;;;12905;321;321;321;13041;;;2259;2097;2097;2097;2259;;;1434;1321;1396;1427;1517;;;
163;13365;13365;13365;13365;13365;;;13203;13203;13203;13203;13203;;;13197;323;323;323;13203;;;2437;2111;2111;2111;2274;;;1430;1607;1396;1276;1244;;;
164;13529;13529;13529;13529;13529;;;13366;13366;13366;13366;13366;;;13300;325;325;325;13366;;;2290;2126;2126;2126;2290;;;1410;1484;1375;1436;1602;;;
165;13694;13694;13694;13694;13694;;;13530;13530;13530;13530;13530;;;13425;327;327;327;13530;;;2472;2142;2142;2142;2307;;;1442;1268;1489;1329;1445;;;
166;13860;13860;13860;13860;13860;;;13695;13695;13695;13695;13695;;;13685;329;329;329;13695;;;2653;2155;2155;2155;2321;;;1539;1417;1504;1437;1329;;;
167;14027;14027;14027;14027;14027;;;13861;13861;13861;13861;13861;;;13585;331;331;331;13861;;;2334;2167;2167;2167;2334;;;1396;1374;1483;1542;1431;;;
168;14195;14195;14195;14195;14195;;;14028;14028;14028;14028;14028;;;13892;333;333;333;14028;;;2514;2178;2178;2178;2346;;;1609;1370;1413;1416;1352;;;
169;14364;14364;14364;14364;14364;;;14196;14196;14196;14196;14196;;;13986;335;335;335;14196;;;2361;2192;2192;2192;2361;;;1438;1514;1509;1481;1560;;;
170;14534;14534;14534;14534;14534;;;14365;14365;14365;14365;14365;;;14274;337;337;337;14365;;;2378;2208;2208;2208;2378;;;1427;1444;1491;1449;1336;;;
171;14705;14705;14705;14705;14705;;;14535;14535;14535;14535;14535;;;14415;339;339;339;14535;;;2736;2223;2223;2223;2394;;;1466;2025;1359;1470;1468;;;
172;14877;14877;14877;14877;14877;;;14706;14706;14706;14706;14706;;;14670;341;341;341;14706;;;2396;2396;2396;2396;2396;;;1426;1558;1544;1372;1590;;;
173;15050;15050;15050;15050;15050;;;14878;14878;14878;14878;14878;;;14668;343;343;343;14878;;;2580;2407;2407;2407;2407;;;1503;1457;1571;1701;1524;;;
174;15224;15224;15224;15224;15224;;;15051;15051;15051;15051;15051;;;15023;345;345;345;15051;;;2424;2424;2424;2424;2424;;;1581;1585;1596;1574;1531;;;
175;15399;15399;15399;15399;15399;;;15225;15225;15225;15225;15225;;;15215;347;347;347;15225;;;2788;2438;2438;2438;2438;;;1410;1592;1653;1586;1472;;;
176;15575;15575;15575;15575;15575;;;15400;15400;15400;15400;15400;;;15322;349;349;349;15400;;;2630;2454;2454;2454;2454;;;1604;1480;1560;1541;1490;;;
177;15752;15752;15752;15752;15752;;;15576;15576;15576;15576;15576;;;15561;351;351;351;15576;;;2644;2467;2467;2467;2467;;;1733;1403;1947;1455;1664;;;
178;15930;15930;15930;15930;15930;;;15753;15753;15753;15753;15753;;;15698;353;353;353;15753;;;2662;2484;2484;2484;2484;;;1509;1598;1420;1470;1672;;;
179;16109;16109;16109;16109;16109;;;15931;15931;15931;15931;15931;;;15760;355;355;355;15931;;;2499;2499;2499;2499;2499;;;1657;1593;1584;1487;1693;;;
180;16289;16289;16289;16289;16289;;;16110;16110;16110;16110;16110;;;16032;357;357;357;16110;;;2509;2509;2509;2509;2509;;;1573;1656;1821;1614;1638;;;
181;16470;16470;16470;16470;16470;;;16290;16290;16290;16290;16290;;;16245;359;359;359;16290;;;2525;2525;2525;2525;2525;;;1489;1611;1457;1865;1456;;;
182;16652;16652;16652;16652;16652;;;16471;16471;16471;16471;16471;;;16171;361;361;361;16471;;;2719;2537;2537;2537;2537;;;1943;1953;1549;1534;1624;;;
183;16835;16835;16835;16835;16835;;;16653;16653;16653;16653;16653;;;16625;363;363;363;16653;;;2554;2554;2554;2554;2554;;;1669;1559;1597;1536;1720;;;
184;17019;17019;17019;17019;17019;;;16836;16836;16836;16836;16836;;;16833;365;365;365;16836;;;2752;2568;2568;2568;2568;;;1682;1745;1571;1956;1545;;;
